100 MILE HOUSE, BC = 51.643970 -121.295010
SCOTCHTOWN, NB = 45.896063 -66.149242
SCOTCHTOWN, NS = 46.238269 -60.099989
SCOTLAND, ON = 45.649808 -62.851308
SCOTSBURN, NS = 45.649808 -62.851308
SCOTSTOWN, QC = 45.525440 -71.275658
SCOTSVILLE, NS = 46.187741 -61.157212
SCOTT SIDING, NB = 45.916267 -67.541344
SCOTT, QC = 46.504201 -71.068470
SCOTT, SK = 52.365740 -108.828757
SCOUDOUC ROAD, NB = 46.179623 -64.436946
SCOUDOUC, NB = 46.168334 -64.561529
SCOUT LAKE, SK = 49.366340 -105.999407
SEA SIDE, NB = 45.071206 -67.047649
SEABRIGHT, NS = 44.619664 -63.929035
SEAFORTH, ON = 43.553435 -81.393405
SEAGRAVE, ON = 44.200190 -78.951655
SEAL COVE FB, NL = 47.482650 -56.063386
SEAL COVE WB, NL = 46.778645 -84.051335
SEARCHMONT, ON = 46.778645 -84.051335
SEARSVILLE, NB = 53.556051 -114.736471
SEBA BEACH, AB = 53.556051 -114.736471
SEBRIGHT, ON = 43.407449 -81.063256
SEBRINGVILLE, ON = 43.407449 -81.063256
SECHELT, BC = 45.232607 -66.845013
SECOND FALLS, NB = 46.068614 -65.074779
SECOND NORTH RIVER, NB = 51.675168 -110.664942
SEDALIA, AB = 51.675168 -110.664942
SEDDONS CORNER, MB = 50.062153 -96.292119
SEDGEWICK, AB = 52.776503 -111.696750
SEDLEY, SK = 50.170038 -104.013331
SEELEYS BAY, ON = 45.088042 -66.657856
SEELEYS COVE, NB = 45.088042 -66.657856
SELBY, ON = 49.615394 -54.173329
SELDOM, NL = 50.143528 -96.875429
SELKIRK, MB = 42.833673 -79.931837
SELKIRK, ON = 42.833673 -79.931837
SEMANS, SK = 51.406481 -104.731372
SENLAC, SK = 52.492462 -109.707109
SENNETERRE, QC = 48.390597 -77.241167
SENNEVILLE, QC = 50.213297 -66.375792
SEPT-ILES, QC = 50.213297 -66.375792
SERPENT RIVER, ON = 48.196075 -80.222644
SESEKINIKA, ON = 48.196075 -80.222644
SETON PORTAGE, BC = 49.873468 -110.906311
SEVEN PERSONS, AB = 50.105343 -96.014935
SEVEN SISTERS FALLS, MB = 50.105343 -96.014935
SEVERN BRIDGE, ON = 44.766667 -79.333333
SEVOGLE, NB = 47.071551 -65.823726
SEXSMITH, AB = 50.685203 -108.609023
SHACKLETON, SK = 44.521121 -63.764103
SHAD BAY, NS = 43.498687 -65.699780
SHAG HARBOUR, NS = 43.498687 -65.699780
SHAKESPEARE, ON = 50.732205 -122.232405
SHALALTH, BC = 44.614606 -81.085326
SHALLOW LAKE, ON = 44.614606 -81.085326
SHALLOWAY COVE, NL = 48.845501 -53.678160
SHAMATTAWA, MB = 55.861720 -92.098404
SHAMROCK, SK = 50.159193 -106.625066
SHANKLIN, NB = 45.360285 -65.615109
SHANNON, NB = 46.886532 -71.517078
SHANNON, QC = 46.886532 -71.517078
SHANNONVILLE, ON = 44.415148 -79.585034
SHANTY BAY, ON = 44.769496 -76.689392
SHARBOT LAKE, ON = 44.769496 -76.689392
SHARON, ON = 44.100854 -79.433340
SHAUGHNESSY, AB = 49.852158 -112.846268
SHAUNAVON, SK = 49.646338 -108.421579
SHAWINIGAN, QC = 46.518765 -72.743531
SHAWINIGAN-SUD, QC = 46.518765 -72.743531
SHAWNIGAN LAKE, BC = 48.651179 -123.644996
SHAWVILLE, QC = 45.603663 -76.491464
SHEA HEIGHTS, NL = 47.500545 -52.672546
SHEARSTOWN, NL = 47.587470 -53.299829
SHEARWATER, NS = 48.633333 -90.066667
SHEBANDOWAN, ON = 48.633333 -90.066667
SHEDDEN, ON = 42.739472 -81.345318
SHEDIAC BRIDGE, NB = 46.268700 -64.572274
SHEDIAC BRIDGE-SHEDIAC RIVER, NB = 46.250221 -64.569158
SHEDIAC CAPE, NB = 46.250221 -64.569158
SHEDIAC RIVER, NB = 46.270959 -64.629332
SHEDIAC, NB = 46.220197 -64.534687
SHEENBORO, QC = 45.971062 -77.232548
SHEET HARBOUR, NS = 44.927851 -62.544239
SHEFFIELD, NB = 46.008483 -66.231836
SHEFFIELD, ON = 45.345273 -72.571197
SHEFFORD, QC = 45.345273 -72.571197
SHEGUIANDAH, ON = 45.900000 -81.916667
SHEHO, SK = 51.587998 -103.211163
SHELBURNE, NS = 44.079119 -80.201173
SHELBURNE, ON = 44.079119 -80.201173
SHELDRAKE, QC = 53.306196 -107.062338
SHELL LAKE, SK = 53.223136 -106.388424
SHELLBROOK, SK = 53.223136 -106.388424
SHELLMOUTH, MB = 50.936324 -101.478754
SHEMOGUE, NB = 46.155472 -64.188306
SHENACADIE, NS = 46.007268 -60.622010
SHENSTONE, NB = 45.900000 -64.733333
SHEPODY ALBERT CO, NB = 45.770421 -64.656621
SHEPODY KINGS CO, NB = 45.140217 -61.979911
SHERBROOKE, NS = 45.140217 -61.979911
SHERBROOKE, QC = 45.400993 -71.882429
SHERKSTON, ON = 42.887737 -79.134514
SHERRIDON, MB = 45.142732 -73.524788
SHERRINGTON, QC = 45.142732 -73.524788
SHERWOOD PARK, AB = 53.541208 -113.295736
SHESHEGWANING, ON = 45.916667 -82.850000
SHIGAWAKE, QC = 48.095152 -65.074030
SHILO, MB = 49.806002 -99.639624
SHINING TREE, ON = 47.550000 -81.266667
SHIP HARBOUR PB, NL = 53.474811 -104.978244
SHIPMAN, SK = 47.743928 -64.705693
SHIPPAGAN, NB = 48.466355 -71.265111
SHIPSHAW, QC = 48.466355 -71.265111
SHIRLEY, BC = 48.389275 -123.905092
SHOAL LAKE, MB = 50.438087 -100.590730
SHOE COVE, NL = 49.916667 -55.550000
SHORTDALE, MB = 45.214410 -63.330079
SHORTTS LAKE, NS = 45.091629 -63.381111
SHUBENACADIE EAST, NS = 45.091629 -63.381111
SHUBENACADIE, NS = 51.389743 -110.150634
SIBBALD, AB = 50.837824 -118.976816
SICAMOUS, BC = 48.650241 -123.399005
SIDNEY, BC = 49.899197 -99.086748
SIDNEY, MB = 47.219006 -67.984852
SIEGAS, NB = 51.361212 -100.143325
SIFTON, MB = 50.777256 -112.935689
SIKSIKA, AB = 50.777256 -112.935689
SILLIKERS, NB = 50.807027 -104.911085
SILTON, SK = 50.807027 -104.911085
SILVER RIDGE, MB = 56.042866 -119.566457
SILVER VALLEY, AB = 45.857854 -82.855147
SILVER WATER, ON = 50.846507 -97.217663
SILVER, MB = 49.952862 -117.357296
SILVERTON, BC = 42.837263 -80.304042
SIMCOE, ON = 49.945125 -108.104458
SIMMIE, SK = 45.311764 -65.800499
SIMONDS, NB = 45.311764 -65.800499
SIMOOM SOUND, BC = 51.448615 -105.445199
SIMPSON, SK = 51.448615 -105.445199
SINCLAIR MILLS, BC = 54.016026 -121.670427
SINCLAIR, MB = 49.569021 -101.292821
SINGHAMPTON, ON = 44.350193 -80.248215
SINTALUTA, SK = 50.478149 -103.449729
SIOUX LOOKOUT, ON = 49.111040 -93.926180
SIOUX NARROWS, ON = 49.111040 -93.926180
SIRDAR, BC = 49.236053 -116.611971
SISSON BROOK, NB = 46.983341 -67.365753
SISSON RIDGE, NB = 46.918477 -67.439333
SIX ROADS, NB = 47.622437 -64.871968
SKEAD, ON = 46.674286 -80.747576
SKIFF LAKE, NB = 45.824183 -67.541774
SKIFF, AB = 49.912481 -115.733706
SKOOKUMCHUCK, BC = 49.912481 -115.733706
SKOWNAN, MB = 51.989369 -99.589181
SLATE FALLS, ON = 55.286683 -114.771118
SLAVE LAKE, AB = 55.286683 -114.771118
SLEEMAN, ON = 48.721522 -94.429847
SLEMON PARK, PE = 46.433992 -63.821938
SLOCAN PARK, BC = 49.513970 -117.618387
SLOCAN, BC = 49.762993 -117.469920
SLOPE, NB = 46.093389 -66.100040
SMEATON, SK = 53.492614 -104.806354
SMILEY, SK = 51.633609 -109.468471
SMITH CROSSING, NB = 46.775798 -65.807175
SMITH, AB = 55.163056 -114.038200
SMITH'S CORNER, NB = 46.505566 -65.165827
SMITHERS, BC = 54.782355 -127.168554
SMITHFIELD, NB = 45.791485 -66.912900
SMITHS COVE, NS = 44.612577 -65.702671
SMITHS CREEK, NB = 45.775969 -65.479278
SMITHS FALLS, ON = 44.903748 -76.021619
SMITHSVILLE, NS = 43.475797 -65.473566
SMITHTOWN, NB = 45.470572 -65.805698
SMITHVILLE, ON = 43.095654 -79.549423
SMOKY LAKE, AB = 54.112364 -112.475907
SMOOTH ROCK FALLS, ON = 49.275342 -81.620887
SNIDER MOUNTAIN, NB = 45.833333 -65.633333
SNOOKS ARM, NL = 49.856231 -55.702727
SNOW LAKE, MB = 54.878567 -100.022032
SNOW ROAD STATION, ON = 44.947614 -76.674132
SNOWDEN, SK = 53.489504 -104.683476
SNOWFLAKE, MB = 49.046923 -98.660151
SOINTULA, BC = 50.630864 -127.017264
SOLSGIRTH, MB = 50.490052 -100.912708
SOMBRA, ON = 49.411939 -98.658894
SOMERSET, MB = 46.303193 -67.539765
SOMERVILLE, NB = 46.303193 -67.539765
SONNINGDALE, SK = 52.387664 -107.683351
SOOKE, BC = 48.374035 -123.735554
SOPS ARM, NL = 49.776108 -56.872596
SOREL-TRACY, QC = 46.042825 -73.112302
SORMANY, NB = 47.672812 -65.861914
SORRENTO, BC = 50.876860 -119.469938
SOURIS, MB = 49.620798 -100.258303
SOURIS, PE = 46.354980 -62.251834
SOUTH BAPTISTE, AB = 54.723975 -113.569291
SOUTH BAR, NS = 46.205247 -60.199934
SOUTH BAYMOUTH, ON = 45.560137 -82.009988
SOUTH BRANCH KENT CO, NB = 46.537083 -64.905086
SOUTH BRANCH KINGS CO, NB = 45.749768 -65.298107
SOUTH BRANCH, NL = 47.916667 -59.033333
SOUTH BROOK GB, NL = 49.426719 -56.085995
SOUTH BROOKFIELD, NS = 44.372531 -64.973262
SOUTH CANAAN, NB = 45.953243 -65.253779
SOUTH DILDO, NL = 47.570620 -53.555566
SOUTH EAST BIGHT, NL = 47.383333 -54.583333
SOUTH ESK, NB = 46.954706 -65.657661
SOUTH GILLIES, ON = 48.258831 -89.685303
SOUTH HAZELTON, BC = 55.233333 -127.666667
SOUTH HEAD, NS = 46.095022 -59.851997
SOUTH INDIAN LAKE, MB = 56.780695 -98.928107
SOUTH JUNCTION, MB = 49.039978 -95.766722
SOUTH LANCASTER, ON = 45.129188 -74.490823
SOUTH MAITLAND, NS = 45.253656 -63.472837
SOUTH MOUNTAIN, ON = 44.986308 -75.448092
SOUTH NELSON, NB = 46.935612 -65.601950
SOUTH OHIO, NS = 43.920316 -66.064922
SOUTH OROMOCTO LAKE, NB = 45.505962 -66.682731
SOUTH PORCUPINE, ON = 48.485359 -81.210233
SOUTH RIVER, NL = 47.538973 -53.270239
SOUTH RIVER, ON = 45.841038 -79.379573
SOUTH SLOCAN, BC = 49.457630 -117.523764
SOUTH TETAGOUCHE, NB = 47.596059 -65.821337
SOUTH WEST MARGAREE, NS = 46.280863 -61.144252
SOUTH WOODSLEE, ON = 42.200267 -82.718801
SOUTHAMPTON, NB = 46.061863 -67.325153
SOUTHAMPTON, NS = 45.594304 -64.248613
SOUTHAMPTON, ON = 44.494854 -81.369564
SOUTHBANK, BC = 54.233415 -125.763613
SOUTHEND, SK = 56.328682 -103.241773
SOUTHERN BAY, NL = 48.393184 -53.633637
SOUTHERN HARBOUR PB, NL = 50.940354 -104.498881
SOUTHEY, SK = 50.940354 -104.498881
SOUTHFIELD, NB = 45.595678 -65.621400
SOUTHPORT, MB = 49.918187 -98.273539
SOUTHSIDE BOULARDERIE, NS = 46.205963 -60.457982
SOUTHWOLD, ON = 42.727391 -81.295925
SOVEREIGN, SK = 51.511743 -107.721069
SPALDING, SK = 52.328702 -104.497882
SPANIARDS BAY, NL = 47.612850 -53.279425
SPANISH, ON = 46.194796 -82.342278
SPARTA, ON = 42.702461 -81.078794
SPARWOOD, BC = 49.734468 -114.879655
SPECTACLE LAKES, NS = 44.383333 -64.383333
SPEDDEN, AB = 54.136678 -111.728211
SPEERS, SK = 52.707889 -107.558022
SPEERVILLE, NB = 46.050000 -67.633333
SPENCERVILLE, ON = 44.843305 -75.546362
SPENCES BRIDGE, BC = 50.414053 -121.359529
SPERLING, MB = 49.509172 -97.704697
SPILLIMACHEEN, BC = 50.905829 -116.365237
SPIRIT RIVER, AB = 55.780280 -118.842111
SPIRITWOOD, SK = 53.364544 -107.517434
SPLIT LAKE, MB = 56.245139 -96.095057
SPRAGGE, ON = 46.208526 -82.651843
SPRAGUE, MB = 49.035457 -95.642988
SPRING BAY, ON = 45.731680 -82.324262
SPRING COULEE, AB = 49.334039 -113.054508
SPRING LAKE, AB = 53.518384 -114.140764
SPRING VALLEY, SK = 49.944538 -105.404449
SPRINGBROOK, AB = 52.177073 -113.877958
SPRINGBROOK, ON = 44.400168 -77.613346
SPRINGDALE, NB = 45.775191 -65.323102
SPRINGDALE, NL = 49.497490 -56.072997
SPRINGFIELD KINGS CO, NB = 45.713682 -65.810425
SPRINGFIELD YORK CO, NB = 46.016667 -67.066667
SPRINGFIELD, MB = 49.905117 -96.743157
SPRINGFIELD, NS = 44.633333 -64.866667
SPRINGFIELD, ON = 42.829572 -80.935890
SPRINGFORD, ON = 42.915871 -80.667909
SPRINGHILL, NS = 45.648648 -64.059965
SPRINGSIDE, SK = 51.347400 -102.742563
SPRINGSTEIN, MB = 49.804554 -97.499427
SPRINGWATER, SK = 51.972521 -108.378474
SPRUCE GROVE, AB = 53.542785 -113.903367
SPRUCE HOME, SK = 53.386194 -105.765185
SPRUCE LAKE, SK = 53.542439 -109.087179
SPRUCE VIEW, AB = 52.086202 -114.311183
SPRUCEDALE, ON = 45.490145 -79.462266
SPUTINOW, AB = 53.918638 -110.267382
SPY HILL, SK = 50.603483 -101.685078
SQUAMISH, BC = 49.701634 -123.155812
SQUATEC, QC = 47.881070 -68.723331
SQUAW CAP, NB = 47.884828 -66.906145
SQUIRREL COVE, BC = 50.116667 -124.916667
ST ADOLPHE, MB = 43.434896 -80.628745
ST AGATHA, ON = 47.861977 -55.837684
ST ALBANS, NL = 53.630475 -113.625642
ST ALBERT, ON = 46.856454 -67.425859
ST ALMO, NB = 46.856454 -67.425859
ST ALPHONSE, MB = 49.435955 -99.004276
ST AMBROISE, MB = 50.255899 -98.037334
ST ANDREWS CHANNEL, NS = 45.939374 -60.500266
ST ANDREWS WEST, ON = 45.096145 -74.796996
ST ANDREWS, MB = 50.262541 -96.984180
ST ANDREWS, NB = 45.073843 -67.053090
ST ANDREWS, NL = 47.777613 -59.273257
ST ANDREWS, NS = 45.558690 -61.890250
ST ANNS, ON = 50.383127 -56.831115
ST ANTHONY EAST, NL = 50.383127 -56.831115
ST BENEDICT, SK = 52.568382 -105.389598
ST BERNARDIN, ON = 45.458217 -74.800049
ST BERNARDS-JACQUES FONTAINE, NL = 47.524386 -54.909965
ST BRENDANS, NL = 48.865083 -53.658559
ST BRIDES, AB = 53.991393 -111.539361
ST BRIDES, NL = 46.919953 -54.172268
ST BRIEUX, SK = 52.638419 -104.888680
ST CATHARINES, ON = 43.159374 -79.246863
ST CHADS, NL = 48.693522 -53.776784
ST CHARLES, ON = 46.362467 -80.416705
ST CLAUDE, MB = 49.657729 -98.346471
ST CLEMENTS, MB = 50.192949 -96.761347
ST CLEMENTS, ON = 43.523095 -80.652038
ST COLUMBA, NS = 45.962117 -60.804871
ST CROIX, NB = 45.564298 -67.426042
ST DAVID RIDGE, NB = 45.259373 -67.244748
ST DAVIDS, NL = 48.200000 -58.866667
ST DAVIDS, ON = 43.160324 -79.104043
ST DENIS, SK = 52.158416 -106.099333
ST EUGENE, ON = 45.499651 -74.466780
ST EUSTACHE, MB = 49.975057 -97.780808
ST FINTANS, NL = 48.183333 -58.850000
ST FRANCOIS XAVIER, MB = 49.913329 -97.539939
ST GEORGE BRANT, ON = 43.108518 -80.416848
ST GEORGE, NB = 45.130653 -66.826198
ST GEORGES, NL = 48.428190 -58.481263
ST GERMAIN SOUTH, MB = 49.722222 -97.088333
ST GREGOR, SK = 52.178303 -104.829140
ST ISIDORE DE BELLEVUE, SK = 52.783736 -105.921751
ST ISIDORE, AB = 56.205906 -117.109976
ST ISIDORE, ON = 45.388496 -74.907358
ST JACOBS, ON = 43.540121 -80.553523
ST JEAN BAPTISTE, MB = 49.266073 -97.342296
ST JOACHIM, ON = 47.062189 -70.824331
ST JOSEPH, MB = 49.133244 -97.392163
ST JOSEPHS SAL, NL = 47.118617 -53.509657
ST JUDES, NL = 49.148454 -57.461955
ST JULIENS, NL = 51.092048 -55.746171
ST LAURENT, MB = 50.413532 -97.940939
ST LAWRENCE, NL = 46.925167 -55.395229
ST LAZARE, MB = 50.448907 -101.304535
ST LEON, MB = 49.362856 -98.590633
ST LEWIS, NL = 52.369201 -55.684514
ST LINA, AB = 54.296875 -111.453286
ST LOUIS, SK = 52.920633 -105.810627
ST LUNAIRE-GRIQUET, NL = 51.520436 -55.460988
ST MALO, MB = 49.314094 -96.953616
ST MARGARET VILLAGE, NS = 46.983333 -60.483333
ST MARGARETS, NB = 46.906220 -65.196455
ST MARKS, MB = 50.196414 -98.056044
ST MARTIN, MB = 51.653013 -98.465198
ST MARTINS NORTH, NB = 45.348151 -65.555624
ST MARTINS, NB = 45.348151 -65.555624
ST MARYS, NL = 46.911575 -53.576179
ST MARYS, ON = 43.259587 -81.140653
ST MICHAEL, AB = 53.832498 -112.628669
ST PAUL, AB = 53.991116 -111.295305
ST PAULS STATION, ON = 43.318318 -81.057284
ST PAULS, NL = 49.852095 -57.806047
ST PETERS, NS = 45.656034 -60.875070
ST PIERRE JOLYS, MB = 49.440330 -96.985064
ST SHOTTS, NL = 46.632855 -53.587345
ST STEPHEN, NB = 45.194165 -67.275562
ST THERESA POINT, MB = 53.832766 -94.849654
ST THOMAS, NB = 45.944580 -66.645839
ST THOMAS, ON = 42.777721 -81.182653
ST VICTOR, SK = 49.435510 -105.871403
ST VINCENT, AB = 54.151369 -111.278133
ST VINCENTS, NL = 46.764713 -53.592405
ST WALBURG, SK = 53.633517 -109.200592
ST WILLIAMS, ON = 42.667319 -80.415132
ST-ANTOINE NORD, NB = 46.367155 -64.789153
ST-ATHANASE, QC = 47.431503 -69.435462
ST-BARNABE-NORD, QC = 46.397041 -72.861977
ST-FRANCOIS-DE-LA-RIVIERE-DU-S, QC = 46.855022 -70.675956
ST-FRANCOIS-XAVIER-DE-BROMPTON, QC = 45.533791 -72.048801
ST-GABRIEL-DE-KAMOURASKA, QC = 47.382915 -69.928784
ST-HILAIRE, NB = 47.296680 -68.391167
ST-JEAN-BAPTISTE, NB = 47.767358 -67.211962
ST-JOACHIM-DE-MONTMORENCY, QC = 47.053815 -70.843531
ST-JOSEPH-DE-LA-POINTE-DE-LEVY, QC = 46.798170 -71.072822
ST-JOSEPH-DE-MADAWASKA, NB = 47.454883 -68.312609
ST-JOSEPH-DU-MOINE, NS = 46.533333 -61.050000
ST-LOUIS, PE = 46.886354 -64.143330
ST-MARCEL-DE-L'ISLET, QC = 46.897811 -70.061696
ST-NAZAIRE-DU-LAC-ST-JEAN, QC = 48.582147 -71.525861
ST-OCTAVE, QC = 48.600817 -68.079822
ST-ONESIME, QC = 47.320763 -69.941095
ST-PETERS BAY, PE = 46.417445 -62.581033
ST-PIERRE-DE-LA-RIVIERE-DU-SUD, QC = 46.865842 -70.565665
ST-VALERIEN, QC = 45.564205 -72.712731
ST. ALBERT, AB = 53.630475 -113.625642
ST. ANTHONY, NL = 51.370416 -55.595865
ST. GEORGES, MB = 50.539418 -96.149489
ST. JOHN'S, NL = 47.561510 -52.712577
STAFFA, ON = 43.443022 -81.337837
STAG HARBOUR, NL = 49.583333 -54.283333
STALWART, SK = 51.229943 -105.441723
STANBRIDGE EAST, QC = 45.117662 -72.912343
STANBRIDGE STATION, QC = 45.118475 -73.034561
STAND OFF, AB = 49.467998 -113.305410
STANDARD, AB = 51.110524 -112.982292
STANDON, QC = 46.478715 -70.617807
STANLEY MISSION, SK = 55.418155 -104.563358
STANLEY, NB = 46.283323 -66.738993
STANSTEAD, QC = 45.012615 -72.095768
STAPLES SETTLEMENT, NB = 46.065753 -67.079183
STAPLES, ON = 51.056535 -113.984094
STAR CITY, SK = 52.863617 -104.329804
STAR, AB = 53.818306 -112.778010
STARBUCK, MB = 49.768552 -97.618375
STAUFFER, AB = 52.173390 -114.597003
STAVELY, AB = 50.160931 -113.640785
STAYNER, ON = 44.418412 -80.095730
STE AGATHE, MB = 49.569001 -97.184148
STE ANNE DE PRESCOTT, ON = 45.442178 -74.471584
STE ANNE, MB = 49.669688 -96.647311
STE CROIX, NS = 44.961938 -64.033798
STE ROSE DU LAC, MB = 51.061057 -99.523438
STE-ANNE-DU-RUISSEAU, NS = 43.835309 -65.925569
STE-CATHERINE-DE-LA-J-CARTIER, QC = 46.844452 -71.615226
STE-IRENE-DE-MATAPEDIA, QC = 48.435521 -67.592219
STE-JEANNE-D'ARC-DE-MATANE, QC = 48.477313 -67.991467
STE-MARGUERITE-DE-DORCHESTER, QC = 46.510396 -70.937758
STE-MARGUERITE-DU-LAC-MASSON, QC = 46.027940 -74.063697
STEAD, MB = 50.429600 -96.445496
STEELMAN, SK = 49.292288 -102.591940
STEEP ROCK, MB = 51.439358 -98.796172
STEEVES MOUNTAIN, NB = 46.083333 -65.000000
STEEVES SETTLEMENT, NB = 46.010705 -65.249321
STEINBACH, MB = 49.528528 -96.691092
STELLA, ON = 44.170086 -76.701017
STELLARTON, NS = 45.556777 -62.660390
STENEN, SK = 51.899640 -102.379465
STEPHENFIELD, MB = 49.502320 -98.250454
STEPHENVILLE CROSSING, NL = 48.528000 -58.446764
STEPHENVILLE, NL = 48.547972 -58.581535
STETTLER, AB = 52.322752 -112.710904
STEVENSON ISLAND, MB = 53.857187 -94.656329
STEVENSVILLE, ON = 42.943175 -79.055123
STEWART VALLEY, SK = 50.597006 -107.805338
STEWART, BC = 55.941312 -129.987892
STEWIACKE, NS = 45.137833 -63.349351
STICKNEY, NB = 46.383706 -67.569358
STILESVILLE, NB = 46.166667 -64.883333
STILLWATER LAKE, NS = 44.697399 -63.831872
STIRLING, AB = 49.502310 -112.523179
STIRLING, NS = 45.733333 -60.433333
STIRLING, ON = 44.360297 -77.592134
STITTSVILLE, ON = 45.258513 -75.920777
STOCKHOLM, SK = 50.660838 -102.301617
STOCKTON, MB = 49.589235 -99.454164
STOKE, QC = 45.569049 -71.792751
STOKES BAY, ON = 45.000000 -81.366667
STONECLIFFE, ON = 46.211519 -77.886253
STONEHAM-ET-TEWKESBURY, QC = 47.120950 -71.409135
STONEHAVEN, NB = 47.747883 -65.364047
STONEVILLE, NL = 49.460044 -54.541272
STONEWALL, MB = 50.135154 -97.327397
STONEY CREEK, NB = 46.000000 -64.716667
STONEY CREEK, ON = 43.227218 -79.719559
STONEY ISLAND, NS = 43.469994 -65.570030
STONY BEACH, SK = 50.468908 -105.168049
STONY MOUNTAIN, MB = 50.087562 -97.219651
STONY PLAIN, AB = 53.527931 -114.001928
STONY RAPIDS, SK = 59.258762 -105.831660
STOREYTOWN, NB = 46.566667 -66.150000
STORNOWAY, QC = 45.704346 -71.199148
STORNOWAY, SK = 51.294481 -102.032540
STORTHOAKS, SK = 49.390398 -101.601710
STOUFFVILLE, ON = 43.970586 -79.244284
STOUGHTON, SK = 49.678592 -103.029849
STRAFFORDVILLE, ON = 42.748699 -80.777860
STRANRAER, SK = 51.706833 -108.484751
STRASBOURG, SK = 51.069190 -104.958705
STRATFORD, ON = 43.370001 -80.982229
STRATFORD, PE = 45.780494 -71.281026
STRATFORD, QC = 46.967183 -65.668320
STRATHADAM, NB = 50.427051 -100.343057
STRATHCLAIR, MB = 50.427051 -100.343057
STRATHMORE, AB = 42.955420 -81.623233
STRATHROY, ON = 48.677588 -94.164145
STRATTON, ON = 53.427340 -110.177596
STREAMSTOWN, AB = 49.283333 -81.866667
STRICKLAND, ON = 52.812330 -112.065882
STROME, AB = 52.812330 -112.065882
STRONGFIELD, SK = 51.331873 -106.597024
STUART ISLAND, BC = 50.392973 -125.118608
STUART TOWN, NB = 45.015271 -66.943765
STUARTBURN, MB = 49.133771 -96.763675
STUKELY-SUD, QC = 45.316943 -72.415128
STUMP LAKE, SK = 53.547100 -106.594109
STURGEON COUNTY, AB = 53.866163 -113.761995
STURGEON FALLS, ON = 46.367948 -79.924730
STURGEON LANDING, SK = 54.276935 -101.825729
STURGIS, SK = 51.937931 -102.540009
STYMIEST, NB = 47.302102 -65.094407
SUCCESS, SK = 50.460180 -108.077283
SUDBURY, ON = 46.522099 -80.953035
SUGAR CAMP, NS = 45.696146 -61.338828
SULTAN, ON = 47.593853 -82.756869
SUMMER BEAVER, ON = 52.798679 -88.461808
SUMMERBERRY, SK = 50.411718 -103.094235
SUMMERFIELD CARLETON CO, NB = 46.532200 -67.688142
SUMMERFIELD KINGS CO, NB = 45.834894 -65.574207
SUMMERFORD, NL = 49.484737 -54.780735
SUMMERLAND, BC = 49.607330 -119.676881
SUMMERSIDE, PE = 46.393378 -63.790233
SUMMERSTOWN, ON = 45.059039 -74.558464
SUMMERVILLE, NB = 45.357091 -66.085829
SUMMERVILLE, NL = 48.449015 -53.558269
SUMMERVILLE, NS = 45.098345 -64.164306
SUMMIT LAKE, BC = 54.281901 -122.640001
SUN PEAKS, BC = 50.877459 -119.910142
SUNDERLAND, ON = 44.262830 -79.066313
SUNDOWN, MB = 49.104370 -96.269162
SUNDRE, AB = 51.797215 -114.640501
SUNDRIDGE, ON = 45.769031 -79.396387
SUNNY CORNER, NB = 46.946055 -65.815109
SUNNYBRAE, NS = 45.402421 -62.503690
SUNNYBROOK, AB = 53.194421 -114.197363
SUNNYNOOK, AB = 51.293244 -111.666753
SUNNYSIDE BEACH, NB = 45.970060 -66.074417
SUNNYSIDE, NL = 47.860088 -53.923264
SUNSET BEACH, AB = 54.742717 -113.541806
SUNSET HOUSE, AB = 55.112550 -116.874139
SUNSET PRAIRIE, BC = 55.853457 -120.766868
SURGE NARROWS, BC = 50.235329 -125.098280
SURREY, BC = 49.191347 -122.849013
SUSSEX CORNER, NB = 45.710914 -65.481098
SUSSEX EAST, NB = 45.736542 -65.484536
SUSSEX SOUTH, NB = 45.723619 -65.510876
SUSSEX, NB = 45.723619 -65.510876
SUTTON WEST, ON = 44.311901 -79.349911
SUTTON, QC = 45.105894 -72.616665
SWALWELL, AB = 45.861845 -66.282282
SWAN CREEK, NB = 54.716049 -115.402590
SWAN HILLS, AB = 54.716049 -115.402590
SWAN LAKE, MB = 52.105092 -101.270621
SWAN RIVER, MB = 50.766714 -119.007147
SWANSEA POINT, BC = 50.766714 -119.007147
SWASTIKA, ON = 48.107850 -80.103971
SWEET BAY, NL = 48.457045 -53.644016
SWIFT CURRENT, NL = 47.879791 -54.203877
SWIFT CURRENT, SK = 50.285069 -107.797172
SYDENHAM, ON = 44.407335 -76.600563
SYDNEY FORKS, NS = 46.065685 -60.294472
SYDNEY MINES, NS = 46.242273 -60.230613
SYDNEY RIVER, NS = 46.105435 -60.226726
SYDNEY, NS = 46.136790 -60.194224
SYLVAN LAKE, AB = 52.307620 -114.097995
SYLVANIA, SK = 52.696288 -104.006843
SYPHER COVE, NB = 45.930682 -66.129249
TA TA CREEK, BC = 49.783029 -115.785787
TABER, AB = 49.785961 -112.149653
TABUSINTAC, NB = 47.327155 -65.011012
TADOULE LAKE, MB = 58.714063 -98.481559
TADOUSSAC, QC = 48.145978 -69.712840
TAGISH, YT = 60.312872 -134.274321
TAHSIS, BC = 49.927861 -126.656541
TAILLON, QC = 48.664253 -71.823678
TAKLA LANDING, BC = 55.482887 -125.967777
TALBOTVILLE ROYAL, ON = 69.536702 -93.527104
TALOYOAK, NU = 69.536702 -93.527104
